"completions","attempts","passing_yards","passing_tds","interceptions","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_first_downs","passing_2pt_conversions","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","predicted_passing_yards","player_name","player_display_name","position","recent_team","season","week","season_type","opponent_team"
16,31,295,3,0,1,0,420,11,0,2,11,0,0,0,1,239.711794702972,NA,NA,NA,NA,NA,NA,NA,NA
25,33,378,3,0,0,0,184,13,0,1,2,0,0,0,0,279.661549896913,NA,NA,NA,NA,NA,NA,NA,NA
30,44,443,4,0,1,1,557,18,0,1,-1,0,0,0,0,365.000887399714,NA,NA,NA,NA,NA,NA,NA,NA
27,37,374,3,0,0,0,326,14,0,4,9,0,0,0,1,302.402521110649,NA,NA,NA,NA,NA,NA,NA,NA
24,42,315,0,0,0,0,502,16,0,6,54,0,0,0,4,303.331738009201,NA,NA,NA,NA,NA,NA,NA,NA
22,39,321,1,0,0,0,463,12,0,3,17,0,0,0,1,255.979711846512,NA,NA,NA,NA,NA,NA,NA,NA
19,35,273,3,1,1,1,350,11,0,1,-1,0,0,0,0,241.200588065878,NA,NA,NA,NA,NA,NA,NA,NA
10,11,76,1,0,0,0,25,3,0,1,2,0,0,0,1,105.268950093251,NA,NA,NA,NA,NA,NA,NA,NA
36,50,446,3,0,0,0,418,20,0,0,0,0,0,0,0,392.741760405369,NA,NA,NA,NA,NA,NA,NA,NA
19,32,182,1,1,0,0,255,9,0,5,59,0,0,0,3,220.701795277166,NA,NA,NA,NA,NA,NA,NA,NA
15,29,175,1,0,0,0,259,10,0,3,25,1,0,0,1,212.827603239111,NA,NA,NA,NA,NA,NA,NA,NA
26,40,283,1,1,0,0,219,13,0,6,6,0,0,0,0,264.969752094087,NA,NA,NA,NA,NA,NA,NA,NA
27,34,340,2,1,0,0,337,17,1,3,11,0,0,0,1,339.574956097281,NA,NA,NA,NA,NA,NA,NA,NA
23,33,251,2,0,0,0,244,15,0,2,14,1,0,0,1,292.619296129513,NA,NA,NA,NA,NA,NA,NA,NA
16,25,174,1,1,0,0,142,5,0,7,21,0,0,0,2,153.201916588107,NA,NA,NA,NA,NA,NA,NA,NA
23,35,321,5,0,0,0,228,16,0,7,53,0,1,0,4,333.402145936,NA,NA,NA,NA,NA,NA,NA,NA
23,35,294,3,0,1,0,299,14,0,8,53,1,0,0,4,302.799863559852,NA,NA,NA,NA,NA,NA,NA,NA
26,42,286,2,2,1,0,348,13,0,9,29,1,1,0,3,280.744070632821,NA,NA,NA,NA,NA,NA,NA,NA
