"completions","attempts","passing_yards","passing_tds","interceptions","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_first_downs","passing_2pt_conversions","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","predicted_passing_yards"
29,43,292,4,0,0,0,274,18,0,4,28,0,0,0,1,363.587113063546
25,40,338,2,2,0,0,211,16,0,4,21,0,0,0,2,301.685604376185
25,34,423,3,1,1,0,265,19,0,0,0,0,0,0,0,337.648874940389
43,68,446,1,1,0,0,466,23,0,6,63,1,0,0,3,450.477216114788
26,35,331,4,1,0,0,258,17,0,7,39,0,1,0,2,341.051837955295
20,34,329,3,0,0,0,340,15,0,4,23,0,1,0,1,292.296122574179
27,42,320,1,1,0,0,261,20,0,4,36,0,0,0,3,345.693145405607
16,27,223,1,0,0,0,255,11,0,2,9,1,0,0,1,219.245225046961
28,42,352,3,3,0,0,294,15,0,3,-3,0,0,0,0,306.85853147854
36,41,336,2,0,0,0,227,20,1,5,33,1,1,0,3,401.60117379421
16,28,224,2,0,0,0,209,9,0,2,8,1,0,0,1,206.9695634957
29,42,328,3,1,0,0,313,18,0,4,8,0,0,0,0,347.666332924232
18,26,202,1,0,0,0,235,9,0,3,29,0,0,0,2,207.695248148675
22,30,195,2,0,0,0,166,11,0,3,8,0,0,0,1,240.446043277537
29,43,326,2,0,1,1,285,17,0,3,8,0,0,0,1,323.897011448224
21,27,182,3,0,0,0,167,12,0,6,44,0,1,0,2,266.066939631855
21,39,226,2,1,0,0,354,10,0,6,45,0,0,0,3,244.636941665697
29,41,305,2,1,0,0,274,12,0,7,30,0,1,0,3,277.722119478664
24,33,272,3,0,0,0,223,14,0,3,28,0,0,0,2,294.671380869143
18,30,203,1,2,0,0,195,9,0,7,51,0,1,0,4,205.042756181187
31,41,281,2,0,0,0,241,15,0,0,0,0,0,0,0,310.823942975531
30,40,306,1,1,0,0,158,14,0,6,31,0,0,0,2,292.180416416736
